"infinitive","participle_II","translation","mistakes"
"arbeiten","hat gearbeitet","trabajar",95
"gelten","hat gegolten","valer, ser valido, aplicar",91
"zahlen","hat gezahlt","pagar, abonar",91
"annehmen","hat angenommen","aceptar, suponer",98
"wählen","hat gewählt","elegir, votar",95
"zwingen","hat gezwungen","obligar",95
"beeinflussen","hat beeinflusst","influir",91
"abschaffen","hat abgeschafft","abolir, suprimir, derogar",94
"gehören","hat gehört","pertenecer",90
"beschimpfen","hat beschimpft","insultar, increpar",96
"äußern","hat geäußert","expresar, manifestar",96
"tragen","hat getragen","llevar, usar (ropa), cargar",98
"verbieten","hat verboten","prohibir",93
"einschränken","hat eingeschränkt","limitar, restringir",97
"garantieren","hat garantiert","garantizar",98
"aussuchen","hat ausgesucht","elegir, escoger",95
"wechseln","hat gewechselt","cambiar, canjear",99
"entscheiden","hat entschieden","decidir",100
"bewegen","hat bewegt","mover, conmover",98
"beschäftigen","hat beschäftigt","emplear, entretener, ocupar",96
"trennen","hat getrennt","separar, dividir",98
"nennen","hat genannt","nombrar, llamar",99
"vertreten","hat vertreten","representar, sustituir, defender (opinión)",98
"begrenzen","hat begrenzt","limitar, acotar",99
"verhindern","hat verhindert","impedir, evitar",99
"anregen","hat angeregt","estimular, sugerir, incitar",103
"versorgen","hat versorgt","abastecer, cuidar, proveer",97
